timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered,packet_id,stored_time,ttl,reason
1743017203.3028378,sta4,sta3,16.566200017929077,True,True,2.0,1.3,311.0,49.0,14648.0,,,,
1743017203.3062806,sta2,sta3,38.697980880737305,True,True,6.0,1.4,295.0,50.0,14943.0,,,,
1743017203.3170578,sta5,sta3,36.40481352806091,True,True,5.0,1.5,310.0,51.0,15253.0,,,,
1743017203.3480551,sta3,sta1,30.666141510009766,True,True,3.0,2.2,295.0,80.0,23407.0,,,,
1743017203.3483405,sta3,sta1,30.66460418701172,True,True,3.0,2.3,295.0,81.0,23702.0,,,,
1743017203.3487992,sta3,sta1,30.663698196411133,True,True,3.0,2.4,295.0,82.0,23997.0,,,,
1743017204.199917,sta4,sta3,34.47065281867981,True,True,2.0,1.3,295.0,52.0,15548.0,,,,
1743017204.204743,sta4,sta3,34.4726357460022,True,True,2.0,1.4,295.0,53.0,15843.0,,,,
1743017204.2134356,sta4,sta3,34.48126721382141,True,True,2.0,1.5,293.0,54.0,16136.0,,,,
1743017204.2161162,sta2,sta3,18.951156854629517,True,True,1.0,1.6,296.0,55.0,16432.0,,,,
1743017204.218715,sta2,sta3,18.952378273010254,True,True,1.0,1.7,296.0,56.0,16728.0,,,,
1743017204.224166,sta2,sta4,17.687376737594604,True,True,1.0,1.3,295.0,43.0,12873.0,,,,
1743017204.2245524,sta2,sta4,17.685063362121582,True,True,1.0,1.4,296.0,44.0,13169.0,,,,
1743017204.2692385,sta2,sta5,16.650713443756104,True,True,1.0,1.6,296.0,47.0,14095.0,,,,
1743017204.2698703,sta2,sta5,16.65016460418701,True,True,1.0,1.7,296.0,48.0,14391.0,,,,
1743017205.0405376,sta4,sta1,32.32187080383301,True,True,1.0,2.0,295.0,83.0,24292.0,,,,
1743017205.0410135,sta4,sta1,32.32088017463684,True,True,1.0,2.1,295.0,84.0,24587.0,,,,
1743017205.1389716,sta4,sta3,30.157596349716187,True,True,1.0,1.4,294.0,57.0,17022.0,,,,
1743017205.1426578,sta4,sta3,30.16020941734314,True,True,1.0,1.5,295.0,58.0,17317.0,,,,
1743017206.101424,sta4,sta1,8.935064554214478,True,True,3.0,2.3,312.0,90.0,26298.0,,,,
1743017206.126934,sta2,sta4,1.021852970123291,True,True,1.0,0.9,311.0,45.0,13480.0,,,,
1743017207.4623134,sta1,sta2,8.61396598815918,True,True,2.0,3.9,312.0,174.0,48922.0,,,,
1743017207.5688958,sta4,sta3,31.593286275863647,True,True,3.0,1.6,311.0,59.0,17628.0,,,,
1743017207.5749998,sta5,sta3,35.449403285980225,True,True,4.0,1.7,311.0,60.0,17939.0,,,,
1743017207.6129723,sta2,sta1,2.469905138015747,True,True,1.0,2.4,312.0,91.0,26610.0,,,,
1743017208.638737,sta4,sta1,35.91163468360901,True,True,3.0,2.4,295.0,92.0,26905.0,,,,
1743017208.640048,sta4,sta1,35.911237716674805,True,True,3.0,2.5,295.0,93.0,27200.0,,,,
1743017209.3271477,sta4,sta2,22.699241638183594,True,True,2.0,3.9,312.0,185.0,52034.0,,,,
1743017209.5170698,sta1,sta5,36.94594645500183,True,True,2.0,1.0,311.0,49.0,14702.0,,,,
1743017210.3623116,sta1,sta4,32.58416748046875,True,True,1.0,0.7,311.0,46.0,13791.0,,,,
1743017210.3775337,sta2,sta4,46.855056047439575,True,True,4.0,0.8,309.0,47.0,14100.0,,,,
1743017210.380016,sta3,sta4,45.75795769691467,True,True,4.0,0.9,310.0,48.0,14410.0,,,,
1743017211.1885796,sta4,sta2,3.6522512435913086,True,True,1.0,4.0,312.0,191.0,53746.0,,,,
1743017211.2292309,sta2,sta1,11.282574653625488,True,True,3.0,2.1,312.0,99.0,28909.0,,,,
1743017211.2307434,sta3,sta1,38.5442852973938,True,True,4.0,2.2,293.0,100.0,29202.0,,,,
1743017211.2314484,sta3,sta1,10.30760931968689,True,True,3.0,2.3,312.0,101.0,29514.0,,,,
1743017211.23199,sta5,sta1,2.7045772075653076,True,True,1.0,2.4,312.0,102.0,29826.0,,,,
1743017211.2694151,sta2,sta4,24.715686082839966,True,True,3.0,0.7,296.0,49.0,14706.0,,,,
1743017211.27898,sta2,sta4,24.724907636642456,True,True,3.0,0.8,296.0,50.0,15002.0,,,,
1743017211.281613,sta2,sta4,6.112467050552368,True,True,2.0,0.9,312.0,51.0,15314.0,,,,
1743017211.2902894,sta1,sta5,48.887012004852295,True,True,9.0,0.5,309.0,50.0,15011.0,,,,
1743017211.2928257,sta4,sta5,35.21183371543884,True,True,5.0,0.6,311.0,51.0,15322.0,,,,
1743017212.6790612,sta3,sta2,37.679139852523804,True,True,7.0,3.9,310.0,197.0,55456.0,,,,
1743017212.6797242,sta1,sta2,40.01180291175842,True,True,9.0,4.0,311.0,198.0,55767.0,,,,
1743017212.7438474,sta5,sta3,4.168313980102539,True,True,1.0,1.3,311.0,61.0,18250.0,,,,
1743017212.8148694,sta2,sta5,2.4806551933288574,True,True,1.0,0.6,312.0,52.0,15634.0,,,,
1743017212.8157647,sta2,sta5,45.989370346069336,True,True,3.0,0.7,295.0,53.0,15929.0,,,,
1743017212.8161442,sta3,sta5,43.12656569480896,True,True,3.0,0.8,311.0,54.0,16240.0,,,,
1743017213.7863853,sta3,sta1,2.5335299968719482,True,True,1.0,2.1,312.0,103.0,30138.0,,,,
1743017214.6091926,sta2,sta3,24.131880521774292,True,True,1.0,0.6,296.0,62.0,18546.0,,,,
1743017214.6502118,sta2,sta4,22.793009281158447,True,True,1.0,0.8,296.0,52.0,15610.0,,,,
1743017214.6716056,sta2,sta5,21.79825711250305,True,True,1.0,0.7,296.0,55.0,16536.0,,,,
1743017214.679334,sta3,sta5,19.025586366653442,True,True,1.0,0.8,312.0,56.0,16848.0,,,,
1743017215.582487,sta3,sta4,35.55615258216858,True,True,1.0,0.9,311.0,53.0,15921.0,,,,
1743017215.5912929,sta3,sta4,39.54106879234314,True,True,1.0,1.0,295.0,54.0,16216.0,,,,
1743017215.5943363,sta3,sta4,39.54073643684387,True,True,1.0,1.1,295.0,55.0,16511.0,,,,
1743017215.5987897,sta3,sta4,39.541921854019165,True,True,1.0,1.2,294.0,56.0,16805.0,,,,
