timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered
1743682862.1302009,sta2,sta3,0.0006527900695800781,True,True,1,0.8,248,42,10394
1743682862.1318946,sta2,sta4,0.0006515979766845703,True,True,1,0.8,248,42,10395
1743682862.1437683,sta2,sta5,0.009911298751831055,True,True,1,0.8,248,42,10392
1743682862.637716,sta3,sta1,0.0020177364349365234,True,True,1,0.8,248,42,10388
1743682862.6560388,sta3,sta2,0.0017309188842773438,True,True,1,0.8,247,42,10392
1743682862.6628802,sta3,sta4,0.0004780292510986328,True,True,1,0.8,248,43,10643
1743682862.6726909,sta3,sta5,0.0026624202728271484,True,True,1,0.8,247,43,10639
1743682863.0033271,sta4,sta1,0.006331682205200195,True,True,1,0.8,248,43,10636
1743682863.004953,sta4,sta2,0.0017180442810058594,True,True,1,0.8,248,43,10640
1743682863.0113633,sta4,sta3,0.0026922225952148438,True,True,1,0.8,246,43,10640
1743682863.0116832,sta4,sta5,0.00039649009704589844,True,True,1,0.8,248,44,10887
1743682863.2696898,sta5,sta1,0.0005009174346923828,True,True,1,0.8,248,44,10884
1743682863.2700589,sta5,sta2,0.00017380714416503906,True,True,1,0.8,248,44,10888
1743682863.270529,sta5,sta3,0.00014638900756835938,True,True,1,0.8,247,44,10887
1743682863.2710118,sta5,sta4,9.369850158691406e-05,True,True,1,0.8,247,44,10890
1743682866.710452,sta1,sta2,0.0012028217315673828,True,True,1,0.8,248,45,11136
1743682866.7110054,sta1,sta3,0.0002117156982421875,True,True,1,0.8,248,45,11135
1743682866.7119071,sta1,sta4,0.0006299018859863281,True,True,1,0.8,248,45,11138
1743682866.7145462,sta1,sta5,0.0007231235504150391,True,True,1,0.8,248,45,11135
1743682867.1604028,sta2,sta1,0.0012755393981933594,True,True,1,0.8,248,45,11132
1743682867.1639996,sta2,sta3,0.0012640953063964844,True,True,1,0.8,247,46,11382
1743682867.1659102,sta2,sta4,0.0014142990112304688,True,True,1,0.8,248,46,11386
1743682867.1843622,sta2,sta5,0.004563093185424805,True,True,1,0.8,248,46,11383
1743682867.689085,sta3,sta1,0.0016832351684570312,True,True,1,0.8,248,46,11380
1743682867.6962233,sta3,sta2,0.0008511543273925781,True,True,1,0.8,247,46,11383
1743682867.7040265,sta3,sta4,0.0013308525085449219,True,True,1,0.8,246,47,11632
1743682867.7075338,sta3,sta5,0.0011937618255615234,True,True,1,0.8,248,47,11631
